Year,Countries,Values
1999,Spain,1514.8029
2000,Spain,1534.1266
2001,Spain,1519.2728
2002,Spain,1471.9177
2003,Spain,1473.1183
2004,Spain,1509.0238
2005,Spain,1557.8431
2006,Spain,1493.2614
2007,Spain,1524.6194
2008,Spain,1472.4442
2009,Spain,1529.7739
2010,Spain,1474.6302
2011,Spain,1544.7857
2012,Spain,1559.7228
2013,Spain,1467.2909
2014,Spain,1500.3533
2015,Spain,1534.1514
1986,Finland,595.2107
1987,Finland,569.9115
1988,Finland,579.2946
1989,Finland,581.6127
1990,Finland,584.5713
1991,Finland,560.3452
1992,Finland,587.1195
1993,Finland,595.8246
1994,Finland,623.4825
1995,Finland,586.7044
1996,Finland,606.4412
1997,Finland,642.3378
1998,Finland,561.2654
1999,Finland,622.0013
2000,Finland,589.821
2001,Finland,610.3435
2002,Finland,673.5754
2003,Finland,584.2028
2004,Finland,596.9981
2005,Finland,619.2312
2006,Finland,633.7539
2007,Finland,591.9326
2008,Finland,557.0024
2009,Finland,602.144
2010,Finland,600.174
2011,Finland,616.2984
2012,Finland,562.2105
2013,Finland,603.1422
2014,Finland,601.4446
2015,Finland,593.4747
1986,France,1114.4271
1987,France,1067.612
1988,France,1092.4523
1989,France,1190.1203
1990,France,1167.3046
1991,France,1148.1342
1992,France,1113.156
1993,France,1089.1247
1994,France,1064.4466
1995,France,1120.3226
1996,France,1104.7944
1997,France,1187.9568
1998,France,1127.4605
1999,France,1110.9936
2000,France,1103.4925
2001,France,1107.858
2002,France,1100.3349
2003,France,1203.8472
2004,France,1126.1018
2005,France,1133.1561
2006,France,1109.3334
2007,France,1128.9367
2008,France,1083.5874
2009,France,1148.7535
2010,France,1114.9578
2011,France,1182.927
2012,France,1124.2327
2013,France,1036.1101
2014,France,1131.5616
2015,France,1171.5663
1986,Greece,1490.23
1987,Greece,1446.3019
1988,Greece,1471.6551
1989,Greece,1552.1449
1990,Greece,1545.0388
1991,Greece,1445.5118
1992,Greece,1531.2196
1993,Greece,1552.6298
1994,Greece,1505.815
1995,Greece,1475.6053
1996,Greece,1381.439
1997,Greece,1497.912
1998,Greece,1497.1091
1999,Greece,1488.6993
2000,Greece,1560.6448
2001,Greece,1492.4295
2002,Greece,1456.8434
2003,Greece,1447.8856
2004,Greece,1474.0583
2005,Greece,1475.1336000000001
2006,Greece,1465.2165
2007,Greece,1519.7261
2008,Greece,1498.5363
2009,Greece,1444.4074
2010,Greece,1440.1195
2011,Greece,1516.0094
2012,Greece,1509.1311
2013,Greece,1486.4683
2014,Greece,1437.7599
2015,Greece,1507.1081
1986,Croatia,1107.0595
1987,Croatia,1090.4956
1988,Croatia,1092.846
1989,Croatia,1117.1033
1990,Croatia,1153.5049
1991,Croatia,1121.372
1992,Croatia,1182.6125
1993,Croatia,1146.9497
1994,Croatia,1135.5771
1995,Croatia,1070.9463
1996,Croatia,1018.0039
1997,Croatia,1175.4363
1998,Croatia,1154.9507
1999,Croatia,1082.0752
2000,Croatia,1204.3322
